,TransactionID,TransactionDate,Amount,TransactionType,Location,Target_Label,HourofDay,DayofWeek,Is_Night_Transaction,Risk_Level,Flag_Suspicious,Location_Code
0,1,2024-04-03 14:15:35.462794,4189.27,refund,San Antonio,0,14,2,False,Critical,0,SAN
1,2,2024-03-19 13:20:35.462824,2659.71,refund,Dallas,0,13,1,False,Medium,0,DAL
2,3,2024-01-08 10:08:35.462834,784.0,purchase,New York,0,10,0,False,Low,0,NEW
3,4,2024-04-13 23:50:35.462850,3514.4,purchase,Philadelphia,0,23,5,False,Medium,0,PHI
4,5,2024-07-12 18:51:35.462858,369.07,purchase,Phoenix,0,18,4,False,Low,0,PHO
5,6,2024-08-30 01:52:35.462867,3086.22,purchase,New York,0,1,4,True,Medium,1,NEW
6,7,2024-01-02 11:31:35.462875,1466.9,refund,Philadelphia,0,11,1,False,Low,0,PHI
7,8,2024-05-12 12:25:35.462885,917.21,purchase,New York,0,12,6,False,Low,0,NEW
8,9,2023-11-16 02:20:35.462894,1625.73,refund,Chicago,0,2,3,True,Low,0,CHI
9,10,2023-10-24 06:51:35.462901,662.07,purchase,Dallas,0,6,1,False,Low,0,DAL
10,11,2024-08-10 17:08:35.462908,3895.94,refund,San Antonio,0,17,5,False,Medium,0,SAN
11,12,2024-08-27 16:03:35.462915,944.94,purchase,San Jose,0,16,1,False,Low,0,SAN
12,13,2024-08-31 02:38:35.462922,2855.69,refund,New York,0,2,5,True,Medium,1,NEW
13,14,2023-11-12 13:30:35.462928,4313.82,refund,San Jose,0,13,6,False,Critical,0,SAN
14,15,2024-07-13 09:02:35.462935,4599.06,refund,Philadelphia,0,9,5,False,Critical,0,PHI
15,16,2024-03-23 06:20:35.462942,1524.05,purchase,San Diego,0,6,5,False,Low,0,SAN
16,17,2024-01-04 22:23:35.462948,2721.95,refund,New York,0,22,3,False,Medium,1,NEW
17,18,2023-11-05 23:33:35.462955,1357.76,refund,New York,0,23,6,False,Low,0,NEW
18,19,2024-02-29 06:41:35.462962,4726.01,purchase,Dallas,0,6,3,False,Low,0,DAL
19,20,2024-01-16 01:48:35.462969,1814.95,refund,Houston,0,1,1,True,Low,0,HOU
20,21,2024-01-19 11:10:35.462976,269.8,refund,San Jose,0,11,4,False,Low,0,SAN
21,22,2024-05-18 17:16:35.462983,512.1,purchase,Philadelphia,0,17,5,False,Low,0,PHI
22,23,2024-04-13 22:57:35.462989,2932.64,refund,Chicago,0,22,5,False,Medium,0,CHI
23,24,2024-03-22 18:11:35.462995,1177.11,refund,Philadelphia,0,18,4,False,Low,0,PHI
24,25,2024-07-15 09:41:35.463002,3661.74,purchase,Dallas,0,9,0,False,Medium,0,DAL
25,26,2024-10-10 00:28:35.463008,3664.95,purchase,San Antonio,0,0,3,True,Medium,0,SAN
26,27,2024-09-22 11:17:35.463015,4186.42,purchase,New York,0,11,6,False,Low,1,NEW
27,28,2024-08-18 22:07:35.463021,1542.27,purchase,Houston,0,22,6,False,Low,0,HOU
28,29,2024-06-23 23:24:35.463041,4360.74,refund,Chicago,0,23,6,False,Critical,0,CHI
29,30,2024-06-12 01:15:35.463048,862.62,purchase,San Diego,0,1,2,True,Low,0,SAN
30,31,2024-07-24 17:19:35.463054,1062.73,refund,Chicago,0,17,2,False,Low,0,CHI
31,32,2024-07-04 01:22:35.463059,4162.63,purchase,San Jose,0,1,3,True,Low,0,SAN
32,33,2024-07-22 16:26:35.463064,3439.54,refund,San Antonio,0,16,0,False,Medium,0,SAN
33,34,2024-06-08 20:00:35.463071,3953.72,purchase,Phoenix,0,20,5,False,Medium,0,PHO
34,35,2024-05-17 08:14:35.463077,516.14,refund,San Diego,0,8,4,False,Low,0,SAN
35,36,2024-07-28 09:38:35.463082,1069.35,refund,Phoenix,0,9,6,False,Low,0,PHO
36,37,2024-04-09 19:33:35.463088,1951.61,refund,Philadelphia,0,19,1,False,Low,0,PHI
37,38,2024-05-27 02:09:35.463094,2084.95,refund,San Jose,0,2,0,True,Medium,0,SAN
38,39,2024-08-09 09:02:35.463100,3204.04,purchase,Houston,0,9,4,False,Medium,1,HOU
39,40,2023-12-09 18:12:35.463118,58.49,refund,Philadelphia,0,18,5,False,Low,0,PHI
40,41,2024-02-19 21:10:35.463122,3472.91,refund,San Diego,0,21,0,False,Medium,0,SAN
41,42,2024-08-07 00:51:35.463125,1488.04,purchase,Los Angeles,0,0,2,True,Low,0,LOS
42,43,2024-03-13 02:20:35.463131,774.15,refund,Dallas,0,2,2,True,Low,0,DAL
43,44,2024-03-26 23:08:35.463136,2346.77,refund,Houston,0,23,1,False,Medium,0,HOU
